category,brand,vat,title,sku,weight,price,stock,offer,summary,text,images,options
Bags & Backpacks,Sandqvist,21%,Hans Backpack,73253-41,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-hans-backpack.jpg,product-hans-backpack-2.jpg",
Bags & Backpacks,Sandqvist,21%,Laptop Bag,73253-28,1.73,19.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-henry-backpack.jpg,product-henry-backpack-2.jpg",
Bags & Backpacks,Sandqvist,21%,Henry Backpack,73253-12,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-laptop-bag.jpg,product-laptop-bag-2.jpg",
Bags & Backpacks,Sandqvist,21%,Striped Canvas Bag,73253-10,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-striped-canvas-bag.jpg,product-striped-canvas-bag-2.jpg","{""color"":[""blue"",""orange""]}"
Bags & Backpacks,Sandqvist,21%,Leather Wash Bag,73253-10,1.73,79.00,10,21.00,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-leather-wash-bag.jpg,product-leather-wash-bag-2.jpg",
Bags & Backpacks,Sandqvist,21%,Knit Stripe Bag,73532-46,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-marine-stripe-bag.jpg,product-marine-stripe-bag-2.jpg",
Bags & Backpacks,Sandqvist,21%,Sponge Bag,73532-41,1.73,59.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-sponge-bag.jpg,product-sponge-bag-2.jpg",
Bags & Backpacks,Sandqvist,21%,Handle Bag,73532-32,1.73,46.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-navy-bag.jpg,product-navy-bag-2.jpg","{""color"":[""blue"",""green""]}"
Bags & Backpacks,Xiaomi Mi,21%,Jersey Backpack,73532-30,1.73,39.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-jersey-backpack.jpg,product-jersey-backpack-2.jpg",
Bags & Backpacks,Sandqvist,21%,Adrian Wash Bag,73532-19,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-adrian-wash-bag.jpg,product-adrian-wash-bag-2.jpg",
